count.C1,count.C2,count.C3,count.T1,count.T2,count.T3
1608,1483,1468,2081,2018,1911
21,13,5,9,23,10
7825,6614,5773,5334,5913,5871
5315,4951,4393,4062,3829,3654
6870,5755,5352,4942,5232,4926
21777,18595,16768,14394,14984,14374
0,0,8,0,0,0
105,78,50,174,229,154
1246,878,977,1242,1349,1317
5254,4133,4117,3922,4125,3776
11,0,20,12,0,24
95,103,107,59,40,38
2240,1776,1549,2124,2092,2016
9166,7090,6615,8144,8736,7559
11547,10365,8932,10288,11286,9741
16580,13941,13802,26172,26539,24008
3232,2618,2415,2318,2438,2260
4504,3946,3513,2809,3034,2620
898,829,780,648,587,557
260,153,196,240,346,235
6845,6915,5706,6470,6687,6072
5,4,10,4,20,0
1239,1084,958,1925,1791,1723
162937,127533,115803,137708,143046,134133
4306,3293,3490,3715,3419,3244
6927,5884,5620,5535,5597,5631
171,195,195,356,408,378
8296,7220,6697,6462,6569,6145
6307,5398,4864,7016,7284,6802
4092,3762,3564,3368,3401,2905
913,790,617,793,741,626
2449,2064,1777,1893,1838,1802
9017,6700,7747,11392,11898,10427
24,3,3,10,3,15
8922,6973,6325,10148,10850,9496
1687,1401,1263,2226,2027,1963
280,160,165,349,334,306
1386,1092,1151,591,668,546
3827,3657,3072,3680,3922,3459
9055,8015,7626,8897,8453,8508
2918,2682,2225,2771,2801,2646
38,53,37,19,14,16
3968,3256,2854,2315,2396,2284
6340,5439,4519,6135,6290,5497
1643,1472,1405,2204,2613,2062
6,0,0,0,0,14
1764,1580,1579,2610,2373,2482
0,4,0,0,4,0
1487,1270,1218,2275,3010,2309
2360,1899,1856,2711,3270,2786
2100,1836,1590,2337,2256,1934
4974,4119,3953,3798,3694,3401
8193,7333,6761,7078,6748,6686
15159,11863,11594,15876,17066,14473
8,8,20,30,26,8
236,161,142,157,184,174
3048,2435,2236,2689,2824,2748
3424,2912,2689,3319,3241,3490
465,395,219,353,535,349
74,63,85,75,39,59
805,772,662,948,1186,948
625,412,623,590,779,767
10933,9371,8391,9418,9558,9012
49612,41017,39301,47321,52917,47748
2490,1861,1707,2182,2325,2239
1900,1380,1522,1640,1942,1882
8962,7286,6998,10359,10933,10344
539,396,370,958,987,890
11675,9596,8712,12114,12646,11235
569,528,469,854,941,880
657,560,467,595,648,457
378,385,247,577,477,757
8078,6403,6005,10471,11568,9809
4368,3643,3493,7652,8483,6977
777,576,574,975,1279,823
5465,3722,3810,4877,6898,5387
0,2,0,10,0,32
52,40,54,54,87,101
1116,953,888,1979,2646,1912
2202,1678,1629,2920,3250,3051
30,34,54,63,74,48
1062,869,784,1169,901,1081
6409,5184,4739,7333,7320,7102
8701,7324,6837,6560,6884,6317
27113,24068,22272,51903,52683,49153
5,17,8,11,0,4
4366,3662,3333,3647,3967,3533
0,0,0,8,0,16
28,70,41,29,23,58
4575,3497,3217,2649,2652,2350
14785,14088,12941,14049,14067,13530
3676,2820,2863,3577,3782,3360
392,397,246,421,468,446
24,40,18,47,37,46
11247,8482,7800,11970,12224,10714
230,144,153,223,210,143
77399,64326,59531,46522,48192,43835
887,687,806,1246,1442,1412
29689,26041,24743,21166,20832,20609
90,66,101,139,68,100
140,158,226,294,287,163
1135,969,886,904,846,807
8561,7501,6982,7452,7279,7045
20984,17212,15346,16564,16885,15786
4575,3697,3660,3585,3766,3810
9814,8609,7168,6050,6145,5749
5649,4854,4336,4377,4595,3750
5445,4422,3727,3819,4159,3912
8050,7027,6812,6078,5517,5410
11117,9785,8236,10492,10109,10160
3202,2577,2324,3058,3447,2974
1207,904,772,808,784,695
471,306,326,270,217,277
2116,2096,1769,2164,2075,2196
3868,3438,2951,3646,3578,3446
12,0,8,12,10,10
11509,10041,9603,11899,11831,10953
2708,2677,2248,3221,3548,3097
0,0,4,4,4,0
3747,2757,2800,5380,5741,4891
0,0,8,4,0,0
423,379,323,584,623,443
9718,8445,7463,9678,9811,9271
4713,3543,3582,6454,7069,6384
973,847,857,742,923,828
751,688,750,895,992,835
62,52,50,91,64,60
0,4,0,0,0,0
6798,4866,4899,10463,12800,10392
4874,4319,3796,3270,3858,3543
13564,10552,9484,8872,9483,8521
4384,3882,3379,3970,4381,4231
11904,9767,9232,9531,9946,9217
27,34,30,34,35,29
8476,6694,6251,5540,6503,6083
7,0,0,0,0,0
0,0,2,0,0,0
506,385,355,530,454,516
32187,27732,25030,18425,18920,17397
24251,20898,18898,23888,24525,22703
4548,2853,2186,2499,2954,3245
13,8,7,14,32,38
49,52,28,52,21,41
2516,1962,1935,1931,1972,1688
7603,6151,5957,8660,8147,7807
4176,3425,2903,2908,3038,2721
7678,6258,6080,5931,5419,5712
767,521,425,439,592,576
9,43,38,45,0,10
4,0,0,0,0,0
972,680,623,787,947,871
26729,23505,20004,21551,21404,21251
3241,2794,2388,2534,2549,2330
18,29,34,0,9,19
3104,2524,2278,2403,2944,2651
10702,8786,7761,7777,7657,7425
4233,3463,2873,2928,3288,2709
16597,15168,13826,12309,11712,11144
3801,3346,3127,2530,2695,2746
248,226,181,357,360,285
240,154,131,285,342,246
1161,834,883,867,988,1129
20934,16542,15677,17334,18355,16632
586,406,391,955,912,901
59,36,36,28,84,28
46115,39756,38800,51836,48943,46224
7807,5602,5939,6322,7114,6130
11801,9843,9614,12749,13733,12257
64194,55359,52558,72125,71706,69432
3031,2378,2302,2623,2415,2186
0,2,0,0,0,0
740,671,622,150,166,112
23094,18385,16732,17686,18608,17309
2105,1694,1563,2777,2801,2674
68880,61801,58376,77556,76554,70943
1279,1264,1307,1257,1370,1174
6998,6122,5655,5656,5741,5368
27265,23051,20136,18727,18411,18378
0,0,14,4,11,0
14325,10746,10980,10119,10437,10367
29190,24554,22178,23020,22911,20804
17,0,12,32,38,39
677,578,562,497,539,445
2230,1862,1751,1437,1665,1445
1661,1276,1277,996,936,912
148,124,171,238,225,138
6437,5767,5008,5654,6668,6100
2878,2667,2080,2518,2600,2934
60,49,79,116,69,49
4483,3234,3223,3314,3933,3944
952,665,862,997,980,936
3701,3143,2963,2058,2075,2038
932,734,637,614,658,670
7173,6242,5933,6158,6217,5899
4953,4405,3823,3541,3651,3247
330,247,253,438,375,386
13748,10335,9758,9972,10416,9415
6,0,0,0,0,0
0,7,13,18,8,0
5,12,14,12,12,17
2278,2109,1944,3279,3238,3109
5,21,13,13,13,0
43465,34663,34049,38608,43324,38912
141039,110875,97559,129803,142629,126283
172,73,83,63,103,98
10100,8008,7324,5670,5841,5486
0,2,0,0,4,4
1723,1466,1255,1729,1715,1368
741,567,538,711,793,786
13,0,13,24,30,25
5560,4884,4767,6060,5938,5963
328,239,238,412,462,515
182,131,104,150,151,134
237,134,155,201,168,144
32,59,32,61,51,48
13387,12119,10960,10463,9615,9869
829,699,546,751,668,719
11246,9828,8420,6459,6611,6480
2740,2500,2187,2342,2194,2078
16349,13640,12853,16638,16448,15836
60,66,44,23,45,12
23301,20400,18369,16414,18259,16345
35,89,49,74,52,72
17827,14876,14635,23898,27252,23057
191,216,231,285,248,229
1235,788,855,1050,1002,894
2666,2408,2271,1991,2378,2052
5875,4916,4525,6314,6006,5997
1032,627,705,447,489,526
0,0,0,0,0,12
0,0,4,0,0,0
2921,2230,2315,2518,3393,2723
1748,1609,1427,1656,1746,1498
9,7,0,10,0,0
3913,3653,3148,2313,2572,2276
11,4,6,31,26,22
9071,7499,6476,7627,7547,7052
0,0,0,0,1,0
964,732,722,1302,1227,1250
2968,2848,2693,6637,5730,6278
1281,949,1028,1653,2163,1578
27796,21845,20933,26655,29282,24924
2618,1718,1612,3250,3579,3086
54920,47626,45080,25871,26610,23698
2649,1996,2097,2447,3158,2374
5319,3478,3590,5418,6612,5350
1990,1663,1520,1079,1112,1062
516,469,349,977,989,928
22905,18037,17446,34310,37017,32608
11602,9562,8207,10579,10804,9526
22480,21363,19321,21571,19058,19090
1091,969,849,1152,1138,952
0,0,0,0,5,8
1920,1615,1635,4328,4568,4124
80,59,99,32,48,75
1573,1234,1228,2089,2801,2301
124,129,80,86,79,56
3860,3555,3231,3707,3703,3103
3956,3254,3177,5105,5020,4938
1930,1422,1626,2329,2512,2330
5113,4614,4270,5510,5625,4986
0,4,0,0,0,0
9861,8249,7544,10698,11148,10348
3,0,4,10,10,0
19,0,0,4,14,25
473,380,318,282,360,273
3242,3233,3213,2980,2623,2711
52,28,51,45,80,83
2739,2196,2015,2425,2514,2505
8078,6480,6336,7211,8154,7080
1917,1727,1589,2092,1926,1681
2934,2255,2262,4195,4397,3518
723,652,506,876,955,776
5719,4457,4283,6260,6288,5708
3000,2346,2221,4042,4323,4045
3119,2503,2258,3123,3531,3384
2684,2208,1992,3043,3592,3006
0,12,18,24,20,8
111,96,115,313,295,308
4878,3914,3389,3991,4087,3599
4919,3535,3544,4848,5392,4532
803,628,685,1338,1436,1136
0,0,0,2,2,4
470,328,362,163,257,122
6931,5091,4754,5379,6123,5448
21,0,5,14,38,32
1718,1474,1201,1959,2311,1937
24,28,23,16,40,31
3517,2481,2204,3365,3849,3625
1232,912,802,1168,1110,1121
25,25,20,22,40,45
1932,1466,1366,2049,2704,2054
199,171,152,305,327,282
13822,11526,9475,10730,10706,9719
3131,2625,2952,5096,5072,4687
47,40,28,11,48,32
2448,2235,1894,2877,2744,2503
5774,4812,4644,4010,4026,3678
1128,985,864,1380,1507,1333
3724,2649,2831,2659,2608,2734
1688,1088,1331,1228,1251,1164
12,14,0,6,0,3
3089,2443,2439,1912,1972,1982
236,202,180,184,195,237
35926,28095,26838,28014,29333,26048
13780,10824,10234,12933,12811,12675
2156,1972,1843,4043,4094,3555
16,4,17,0,8,0
4636,3518,3262,3859,4470,4158
120,135,105,123,103,136
1937,1646,1471,2800,2670,2505
564,462,405,762,864,641
122,81,85,151,208,168
1027,829,814,1141,1248,1129
0,9,4,0,4,0
2707,2263,1803,2438,2304,2323
11224,9640,9247,6451,6092,5987
13224,11433,10928,8709,9015,7988
3405,3068,2711,3640,3136,3186
3643,3153,2716,3442,3289,3193
327,377,370,398,447,398
1681,1466,1366,2199,2145,2064
1537,1363,1266,2210,2377,2260
744,614,513,1015,1089,944
23747,18213,17098,23839,24619,22790
92,150,75,141,172,122
6159,4799,4670,7244,7009,6205
8671,7358,7033,6258,6699,6037
9783,7859,7785,9174,8704,8701
3307,2964,2893,3588,4243,3317
829,709,646,532,515,567
43,59,75,51,102,64
0,13,17,17,0,5
20780,16985,14682,16895,16968,15585
10343,8058,8062,12075,11692,10901
281,342,150,327,300,209
342,379,314,438,458,419
5210,4388,3882,4906,5270,4519
2279,2084,1996,3193,3128,3002
4616,4086,3398,5734,6111,5341
388,283,273,295,274,313
74,38,100,66,110,60
0,4,8,8,18,0
1333,898,1001,1632,1834,1807
426,392,375,533,560,552
84,25,44,109,77,91
73,110,100,93,66,42
4055,3423,3496,5282,6120,5673
3236,2586,2451,7132,7900,6733
3428,2764,2711,4560,4227,4289
2081,1478,1573,2676,2997,2398
228,140,199,389,377,289
252,282,295,537,630,484
2590,2286,1903,3476,4136,3546
228,206,260,126,164,109
4141,3004,3034,4855,4545,3882
28,29,21,36,19,20
3333,2776,2935,4621,4727,4263
5200,4687,4483,5412,5140,5166
0,0,8,0,0,0
16124,13946,12241,11087,11650,10694
6368,5459,4399,5631,6740,5993
7519,6205,6732,10083,11586,10150
46950,36568,34601,46983,46331,42237
0,0,8,15,5,8
3083,2196,2235,2542,2641,2455
260,241,233,297,398,373
16698,14264,13074,13486,12641,11824
19412,16518,14444,12470,13330,12139
7640,5514,5129,8253,8938,7888
439,386,385,465,546,545
353,214,251,448,398,384
32,78,87,28,91,69
14237,11965,10731,18305,18188,16956
2572,2001,1734,3583,3892,3203
20960,17649,15889,20353,20840,18666
1603,1335,1119,1773,2044,1845
6041,4875,4919,5775,6262,5457
647,666,573,1246,1246,1199
18,19,0,44,8,36
12,0,0,0,11,0
401,267,327,490,519,512
19499,16910,16106,14147,13893,13040
789,668,728,878,1217,866
4160,3198,3260,4667,5095,4208
987,555,651,1291,1436,1252
319,228,192,424,520,447
5096,4284,3839,5035,6780,5397
4575,3486,3292,5913,6348,5364
3701,2725,2661,2825,2791,2493
12094,9219,8264,11983,14321,11558
1552,1328,1202,2216,2289,1930
1978,1587,1496,2151,2006,1901
9395,8050,7684,7342,7621,6515
3215,2651,2385,3639,4001,3500
45264,37998,33030,35814,35801,34452
2465,2111,1926,3540,3713,3336
1767,1381,1274,1195,1318,1137
10650,8436,7296,7723,7791,7795
3433,2388,2410,4176,4744,4519
2743,2282,2128,2884,3040,2739
1677,1446,1150,1174,1209,1036
1784,1445,1285,2070,2222,2011
20616,17248,16567,17199,16868,15319
2950,2576,2412,2768,2665,2539
4072,3000,2850,4123,4530,3971
5362,4209,4297,6327,6742,6241
335,218,110,266,264,291
2855,2419,2269,2092,2180,1880
1924,2026,1688,2466,2338,2532
3852,3394,2734,2678,2492,2857
477,415,382,1164,1356,1124
70,103,51,93,73,73
4,4,0,0,0,6
20,22,15,2,4,16
2951,2570,2041,2705,2835,2450
1228,1097,1048,621,528,428
32,8,13,13,11,10
33553,28147,26148,33222,34394,31367
15203,12773,11089,15634,15942,16270
87,83,73,81,127,101
3553,2579,2444,4271,4922,4489
1476,1285,1253,1058,1136,1137
326,243,236,303,386,415
0,0,12,6,0,0
4443,3689,3577,5766,6538,5765
40642,32616,32341,39142,48370,37400
523,345,367,409,403,458
9062,7183,7137,11394,13423,11841
311,258,264,358,481,376
1352,1152,1029,1714,2105,1806
3457,2705,2674,4101,3947,3768
1136,972,790,1490,2130,1642
1408,1280,1461,1712,2009,1805
30,32,23,16,16,49
1716,1345,1217,3243,3180,2715
0,3,0,12,2,0
0,11,0,9,2,0
11728,10102,9482,9958,10556,9713
644,536,520,1149,1029,1324
31580,28758,26480,34202,32143,31969
5626,4635,4537,6009,6117,5417
127,83,86,101,86,58
1642,1031,1117,2146,2473,1757
4,0,0,0,0,0
4665,3714,3436,5592,5901,5392
3409,2898,2644,2679,2261,2257
29736,26171,22182,16517,15601,15388
116,116,88,88,125,92
2049,1751,1511,3369,3299,2980
404,358,349,735,739,778
0,42,37,13,0,4
458,422,338,404,499,441
8884,6700,6830,9424,10051,8948
0,0,0,4,0,0
824,605,558,496,637,600
3,5,5,20,38,14
560,340,351,773,727,672
20549,16849,16123,23490,24939,21836
682,540,447,1282,993,1181
224,221,214,260,364,180
645,475,484,983,1168,887
236,109,142,302,337,297
8,0,5,4,12,5
2612,2056,1793,2403,2654,2411
10,39,10,61,93,46
4180,3779,3453,5935,5943,5732
5216,4273,3951,6303,7966,6885
4,16,4,0,0,0
944,683,663,1131,1370,1312
32,22,14,10,7,16
90,77,57,140,58,124
5006,4022,4303,4471,4498,3920
4593,3726,3683,4811,4703,4140
0,0,4,0,0,0
3168,2589,2686,3438,3837,3492
0,0,0,4,0,8
0,8,0,36,16,34
838,591,483,699,835,651
2006,1400,1507,2237,2739,2208
42,19,50,12,31,62
978,801,658,1090,947,1024
2257,1695,1790,2636,2898,2767
1261,995,1027,1041,958,1047
1641,1349,1386,1542,1931,1455
148,55,79,115,100,140
1173,942,937,1183,1585,1294
665,690,627,764,1149,744
39463,30365,30148,38860,45204,36797
655,452,480,776,859,686
509,429,442,905,951,922
0,0,4,0,8,0
703,488,441,915,1311,1094
455,449,389,1061,1435,1126
894,676,615,1011,1219,898
0,0,0,10,35,33
5297,4441,3868,3607,3505,3242
1351,957,876,2525,2464,2175
50,34,59,90,59,120
0,0,23,22,19,10
827,795,642,1089,1205,1051
0,8,4,6,0,0
1272,992,975,1676,1671,1685
5781,4660,4387,5128,5611,4956
3104,2650,2500,3104,2563,2787
23,39,46,22,30,46
4928,3931,3841,4695,5873,5527
1718,1329,1229,1454,1614,1553
5185,4136,3738,5184,4560,4542
3785,2722,2804,5029,6006,4914
9584,8636,7273,8395,8177,8369
6672,5761,5074,4593,4764,4569
7123,6018,5298,7392,6852,6912
3587,2881,2833,1132,1118,1026
1526,1400,1355,1601,1687,1458
4577,3853,3173,4282,4796,3928
25,16,10,20,21,18
3816,2593,2817,4247,4583,4128
0,4,0,0,0,0
4306,3672,3117,5839,5994,5464
618,501,484,447,552,513
1141,1175,1053,1267,1330,1208
3963,3696,2905,2451,2698,2681
4,5,8,4,5,8
4,16,4,28,19,18
4042,3405,3165,2185,2290,1840
6677,5116,4619,5022,5213,4864
29,0,5,28,7,15
30,4,14,20,39,20
4148,2842,2796,6340,8402,6940
2378,2117,1947,1997,2176,1932
4,16,12,36,46,38
4250,4975,4706,3648,4789,4627
398,349,256,291,248,240
37945,28120,29207,35781,39484,35365
146,174,196,397,213,302
251,228,263,466,474,429
2606,1883,1943,2267,2583,2209
2344,2020,1983,2979,3003,2573
3864,3484,3274,4885,5830,4821
5698,4468,4372,5906,6997,5517
3032,2510,2633,3475,4661,3836
7726,6528,6119,11389,12016,11818
4,0,0,0,0,0
35,0,0,0,5,23
7139,5775,5704,5603,6094,5680
290,175,189,207,213,19
6683,5517,5132,13392,14838,13838
3804,3148,3072,2474,2490,2415
6511,5260,4941,6173,6432,5729
0,0,0,0,2,0
378,298,218,296,300,256
5235,4095,3958,4810,5846,5187
2033,1552,1627,2362,2702,2057
11,4,0,14,4,0
0,14,0,9,35,8
1614,1276,1308,2276,2453,2123
960,871,724,1096,997,1094
0,0,0,0,12,0
7167,6179,5516,7958,8760,7696
6,24,23,8,22,19
401,366,349,222,306,264
4740,4276,3743,4478,4617,4084
0,0,3,0,0,12
330,256,214,385,464,379
303,188,193,309,244,289
3984,2930,2957,5162,6844,5617
506,513,347,438,406,360
1723,1714,1472,2585,2975,2732
811,607,585,1243,1501,1166
5699,4319,3959,4637,4905,4411
225,244,138,216,173,196
7723,5847,6308,6016,6060,5884
2256,1992,1680,2581,2581,2511
4503,3712,3221,4350,4081,3838
15,12,56,37,61,194
4942,4094,3654,2672,2797,2593
598,617,571,154,110,291
346,279,204,300,276,264
4829,3976,3872,4410,4695,4605
6240,4827,4848,5842,6165,5452
0,0,0,8,0,8
85,68,42,71,114,53
19,28,8,14,12,0
51,58,92,131,83,102
0,0,4,0,0,0
3600,2948,2693,5892,6013,5364
10,28,27,35,30,38
10505,8745,8424,6738,6905,6968
7080,5945,5532,6026,6157,5355
58,22,18,18,31,5
3475,3520,3346,3678,4197,3638
3766,3254,3061,4925,5374,4931
561,492,438,347,323,377
1989,1735,1564,2249,2611,2304
888,541,605,1268,1648,1312
278,164,274,263,260,326
27,12,19,13,12,14
1094,852,880,1490,1556,1483
2380,1872,1913,2179,2291,2113
0,0,4,8,20,5
4,4,0,0,4,0
3411,3060,2701,2902,2808,2581
184,137,89,217,203,246
4592,3647,3559,6692,6641,6317
329,251,189,365,368,308
1088,854,832,1537,1788,1499
22,28,58,142,241,184
4840,3942,3836,5930,6167,4992
976,817,657,1472,1335,1068
1172,861,884,1562,1614,1482
4174,2996,2832,4085,4624,3971
317,341,234,116,139,191
322,266,251,754,627,603
647,628,664,1453,1872,1418
908,735,688,1170,1234,1001
8827,7359,6480,7218,7673,7141
1684,1226,1199,1827,2375,1949
3062,2088,2324,5331,7790,6224
9947,7666,7213,9222,9265,8880
1483,1085,1015,1205,1087,1053
134,108,134,154,229,189
8,0,8,10,0,0
28982,22812,21632,42637,49324,42083
5748,4101,4107,4198,4858,3877
557,387,407,754,714,504
31,15,4,0,6,4
546,391,323,508,471,509
246,201,169,171,140,114
8079,6357,6855,5328,6097,5530
20059,15798,16070,22544,23720,21348
0,18,32,18,12,8
105,68,36,153,153,166
1546,1382,1225,2229,2104,1750
4659,3778,3497,4327,4659,4181
10497,9012,9233,11889,12021,11141
3047,2389,2415,2918,3389,2949
12062,10485,10071,17462,19340,18561
4864,3798,3510,4042,4364,4007
24984,20930,20268,31760,33304,31847
0,0,4,0,12,4
21117,16145,15627,22226,23769,21212
4,0,4,0,0,0
0,0,12,0,0,0
2111,1806,1628,2792,3123,2635
12729,9761,9884,20509,21089,18973
683,531,529,1211,1351,1206
0,6,0,0,0,4
53,12,26,46,23,23
30,14,45,41,53,45
104,83,143,78,86,108
3455,2789,2847,4521,5659,4590
0,0,0,0,4,0
216,150,189,281,469,242
3442,2374,2355,3654,4509,3586
12717,10504,9418,15277,16754,15554
3123,2247,2095,3414,4381,3598
2229,1770,1628,2500,2746,2671
6445,4881,4682,7231,8128,6755
26655,19512,20529,32286,37340,30088
2168,1781,1658,1586,1768,1715
24,31,9,41,32,36
139,63,63,568,615,458
1276,941,1080,2675,3228,2752
3122,2155,2350,5185,6263,5191
1439,1045,1169,1643,1896,1521
4250,3583,3175,5411,6162,5539
39,22,43,21,47,34
5573,4076,4222,6414,7283,6415
1948,1678,1801,4143,4451,4060
0,18,8,14,26,18
2,4,0,0,0,0
6839,5493,5159,7417,8592,7094
7556,6111,6044,12368,12995,11761
1241,857,787,261,365,296
2215,1610,1648,3171,3316,2961
2273,1825,1809,2736,2719,2600
35528,30641,26711,35399,35461,32891
19631,14454,14960,19067,20099,18584
0,15,8,13,12,16
213,147,180,408,491,401
9317,7130,7298,6527,7364,6670
3822,3745,3261,3791,4050,3278
10359,7470,6734,10531,11592,10274
16,4,8,0,0,4
317,266,257,277,204,240
223,206,153,64,65,81
1169,1217,936,913,731,863
8,22,11,0,22,45
1566,1370,1120,1376,1543,1420
1643,1468,1406,1115,1213,1228
673,442,496,972,843,755
1591,1389,1096,1873,1835,1550
67,38,43,62,32,41
19,12,0,68,14,27
8,19,17,6,13,17
9862,7767,7840,9180,9426,7901
32,0,0,3,8,0
609,543,474,565,578,623
38,69,46,56,45,20
14,1,7,0,4,0
53,32,25,100,75,93
5342,4816,4667,4455,4273,4278
6638,4887,4559,4923,5522,4962
3355,2683,2335,5435,5687,5017
1257,1027,1079,771,786,737
1812,1756,1728,2632,2525,2292
2478,1851,1596,2950,3594,3049
0,0,4,0,0,0
1374,1241,1159,793,833,639
5100,3745,3368,3178,3076,3125
22585,19383,17947,19763,20157,18371
177,169,141,172,195,130
3998,3174,2955,3782,4452,3798
0,32,0,0,0,0
0,0,0,0,0,4
0,0,9,0,6,6
0,23,0,4,0,0
111,74,99,137,50,57
227,194,178,107,85,148
13,0,8,8,10,4
36,0,20,42,35,24
0,5,0,15,0,11
18914,14966,13844,15581,15778,14875
7317,5133,4647,4888,5608,5308
0,0,10,16,29,0
7578,5944,5884,11551,12018,10715
189,113,135,306,290,265
2973,2001,2221,3413,4644,3449
69,73,81,104,95,75
2692,2163,2047,3172,3928,3271
458,453,320,442,486,347
4,0,0,0,0,0
4654,3099,2845,9183,9692,8441
4132,2850,3082,2983,3227,2896
3107,2239,2079,3493,4127,3561
222,217,237,379,419,380
0,0,0,0,16,0
1039,911,849,1484,1841,1661
4,10,0,0,0,0
5718,4347,4053,4812,5869,4846
3354,2262,2571,2962,3347,2847
0,0,0,0,0,4
1432,992,935,1659,1588,1196
833,616,527,1130,1382,1053
176,90,90,204,213,186
747,515,753,1086,1305,1334
1775,1595,1523,2096,2651,2049
3901,2853,2928,5069,5250,5269
448,273,282,503,516,494
6986,5845,5600,7551,8643,7653
0,0,0,0,10,0
10306,8040,8008,19161,21753,18962
3177,2436,2468,4171,4329,4077
0,0,0,0,0,4
3965,2735,3042,3374,3978,3183
0,24,48,12,0,0
25,27,0,43,67,29
16573,14464,13158,11357,11956,11175
11825,9336,8162,7098,8080,7448
1717,1639,1441,2439,2173,2025
819,659,696,1368,1347,1210
2815,1984,2207,3101,3373,2960
2290,1944,1748,2044,1825,1855
623,422,442,622,1104,842
466,328,407,519,619,648
7745,6847,6549,8670,8739,7811
0,0,10,0,0,16
20189,16653,15031,11639,11422,11280
857,712,666,959,1112,934
6804,4425,4752,4648,4674,4404
92,68,84,86,104,57
0,12,6,14,0,4
35,25,43,66,26,53
27533,22624,21074,23124,23501,21625
302,259,172,232,368,309
41,26,24,27,27,17
1743,1215,1158,2925,3089,2644
11975,9318,9151,11044,12861,11101
1422,1079,1004,2119,2459,1805
0,8,0,0,0,0
678,537,484,961,1217,758
617,486,422,752,810,747
736,555,635,769,997,785
3204,2591,2127,1904,2095,2000
3736,2911,2760,2716,2742,2482
9507,8502,7725,10104,10021,9651
1734,1556,1417,2490,2731,2511
13762,12280,10432,8392,8280,7990
2816,2255,1921,4103,4169,4006
157,128,119,206,183,192
372,267,257,397,417,413
1371,1064,1175,1344,1364,1199
4907,3776,3597,5876,6481,6027
62,112,70,32,64,68
3743,3167,2816,3523,4106,3559
7983,6601,6551,9693,10079,8689
84,49,55,79,60,117
1001,876,697,682,573,525
6203,5219,4653,6774,7469,6693
1691,1639,1475,1155,1392,1108
0,0,0,41,0,9
7151,5357,5203,11809,11254,10546
86,66,54,82,80,99
0,1,1,0,0,0
0,8,4,4,8,2
3660,3222,3144,5013,4967,4506
2470,1848,1957,3427,3681,3782
88,87,87,131,131,117
164729,138013,130083,103844,99793,92956
63,88,52,114,110,74
2570,2157,2075,2939,2914,2719
7103,5816,5665,3952,3729,3470
4,0,0,0,0,0
4,0,0,6,3,2
504,354,321,717,954,785
764,717,576,411,417,517
918,822,789,1419,1554,1341
10084,7873,7850,6430,7762,6676
715,537,491,799,1020,804
11,23,9,18,37,35
8742,7214,6967,8616,8282,7570
4383,3596,3848,5816,6310,5840
66474,56301,53878,53477,54413,48438
2,0,18,11,5,16
20,4,16,11,14,24
5053,4088,3716,5116,5413,4694
12,12,0,12,0,23
18717,14017,13734,45331,48426,43186
25275,21038,19014,18100,17313,16530
170,65,101,81,138,95
110,43,99,107,75,93
226,220,184,327,388,417
0,13,12,4,0,0
4,8,0,9,0,0
261,281,187,215,251,263
0,0,4,0,0,0
5158,4008,3827,4306,4901,4349
0,4,4,19,12,4
0,21,29,14,15,8
0,0,4,0,0,0
789,548,582,1064,1503,1128
0,4,0,2,0,4
10334,7974,7864,10423,11027,9666
610,448,488,802,873,719
1630,1415,1355,1688,1683,1692
772,682,464,1023,1030,941
0,0,4,0,0,4
0,0,0,0,4,0
7600,6279,5269,10068,10798,10487
4298,3824,3805,2416,2681,2390
3753,2697,2650,6409,7691,6136
57578,43646,41370,65978,71619,66996
81,81,63,95,84,96
21836,17642,16393,18157,18771,16675
4347,3073,3184,5703,6459,5680
559,364,365,920,861,963
8,0,0,0,0,0
13,0,4,4,0,0
65,48,45,123,166,116
4563,3355,3173,2799,2926,2459
0,0,17,0,0,0
19957,16285,15558,29825,29999,28084
7253,6228,5294,5630,5150,5155
6532,5090,5076,6426,7204,6726
147,140,105,179,168,104
4054,3291,3415,5035,4996,4181
5151,4390,4258,5232,5434,5530
0,4,0,10,4,0
22,21,32,23,18,0
0,9,0,9,0,0
225,188,163,239,323,193
21775,16900,17203,21026,22429,20718
4155,3274,3188,5771,5712,4731
1949,1567,1481,3004,2882,2370
4504,3903,3433,3008,2842,2734
6813,4920,5251,8671,10425,8655
0,6,0,0,0,0
41,71,31,174,123,89
1719,1259,1143,1505,1749,1497
1071,944,800,1042,1259,1125
1463,982,894,1238,1562,1289
15067,9253,11331,18582,23786,19760
12,28,0,67,55,66
39,25,34,117,74,67
8578,6373,6227,8896,10129,8455
2115,1676,1595,2792,3086,2769
555,423,350,640,721,776
2403,1683,1747,2534,2929,2595
12,16,8,12,4,8
8368,6215,6042,11494,12313,10929
760,597,474,620,797,724
6575,4926,4911,5934,6276,6005
563,402,338,949,1061,774
19,6,16,0,0,4
24,45,24,15,12,34
0,0,0,4,0,0
476,370,380,743,884,743
1331,905,1017,908,948,803
4,12,11,0,4,6
261,281,198,195,174,151
788,643,804,2446,2767,2395
3384,2531,2358,3533,4261,3542
2815,1901,2058,3783,4088,3797
14,38,16,69,48,38
2795,2343,2033,3606,3476,3116
2585,2218,2180,3263,4299,3130
693,529,368,1629,1437,1369
17040,14819,12711,16044,16548,17034
584,320,358,980,1231,1036
710,491,545,1499,1761,1414
