count.C1,count.C2,count.C3,count.T1,count.T2,count.T3
6213,5252,4605,6575,6407,6123
293,320,207,370,400,443
12353,9600,8798,9654,10254,9569
8246,8316,8198,13012,12113,12758
57,51,28,37,54,37
10134,8517,7723,7412,7684,7328
5852,4602,4451,3528,3440,3467
2532,2113,1785,3726,3462,3588
5164,3688,3968,4641,6188,4725
14151,11389,12084,18781,20625,18518
40956,31535,30527,48094,53711,48389
15991,13160,12258,13596,14569,13250
1452,1191,1199,1860,2433,2105
413,222,266,741,624,652
103,62,90,70,120,95
29,20,4,4,16,8
486,454,380,604,799,670
0,5,0,19,8,26
3255,2867,2506,2723,2827,2615
3795,2981,2863,4049,4654,3949
26,20,48,63,110,114
14798,12024,12111,14735,15504,14359
5736,4707,4530,6757,6997,6503
138,119,102,146,142,104
882,765,596,966,841,838
4890,4263,3915,3968,4081,3624
1318,1000,948,1797,1913,1798
19092,15166,14603,16455,18704,16578
36662,29869,26936,25473,27613,25567
4154,3196,2631,4216,4771,4232
15941,13535,12195,13312,14227,12522
0,12,0,0,0,0
27949,24828,22766,21900,21180,19640
5188,4669,3945,3707,3774,3758
184,143,183,239,273,187
625,477,422,681,611,574
4,16,7,0,8,0
9633,7948,7456,9756,8873,8842
0,0,19,9,0,0
1560,1090,1069,1083,1118,1053
18,17,20,6,12,16
6661,5632,5249,6040,5796,5381
2412,1657,1593,1171,1426,1106
822,742,755,759,853,849
1698,1397,1227,1486,1407,1300
474,397,401,627,787,641
16,0,9,0,6,0
1380,1155,1015,1271,1204,1130
3251,2846,2573,3418,3489,3226
7998,6721,6416,11510,12477,10653
3711,2950,3294,4228,4611,4349
6848,5475,5221,5201,5563,4940
6119,5650,4892,4058,4107,4153
4355,3604,3357,9577,8827,9067
22406,19481,18339,22645,23360,22047
5073,4630,4120,4728,4417,5306
51,59,32,34,36,57
9806,8598,7512,8360,7946,7433
1959,1677,1837,1722,1931,1942
1687,1508,1281,1698,1665,1636
2177,1712,1657,1956,2018,1885
2749,2161,1975,2577,2838,2433
1400,1066,891,868,986,711
4091,3237,3083,4665,4644,4420
863,708,730,1222,1499,1310
7415,6014,5614,7364,8418,7250
4745,4060,3920,5530,5387,4768
3706,2978,2808,3828,4265,3816
43308,36837,33562,30330,29459,27932
1356,1162,995,698,698,626
149,140,168,749,707,596
5973,5453,4712,4572,4157,3861
2877,2390,2337,3884,4796,4306
14592,12737,11382,10363,10913,10193
15396,11245,11197,10223,12541,10235
5208,4657,3887,4522,4566,4192
4102,3145,3235,6051,6774,5934
12,9,11,8,10,4
3193,2762,2520,3143,3614,3036
14017,11917,10685,9499,10158,9475
1125,908,808,1190,1463,1200
3727,2964,2691,5079,5922,4936
52,81,57,159,131,184
2106,1820,1554,2740,3197,2901
2797,2340,2238,2127,1901,2111
4409,3554,3355,4851,5698,5208
14676,11826,10665,9062,9234,9075
657,663,564,510,679,606
2083,1748,1710,2596,2486,2527
3322,2719,2727,4621,4971,4450
38,9,32,54,27,55
0,36,48,99,122,146
9281,7861,7301,6855,6297,6058
36,14,20,75,67,38
12101,9773,9866,18205,19503,17612
50,0,33,37,17,10
2178,1825,1671,2534,2567,2207
7140,6087,6008,7064,7285,7143
5206,4025,4031,4686,5084,4445
5469,4206,4374,6479,7959,6412
3950,3252,2843,2704,2344,2608
16795,13937,12506,12429,13107,12064
9616,8921,7751,9013,8595,8053
12,0,0,13,22,6
23190,20021,18948,21962,23312,22232
23172,18750,16755,15661,17319,15455
15290,12271,11366,10038,10292,9864
6522,4807,4682,8979,9819,8542
6839,5073,5111,7778,9359,7847
1165,854,833,1247,1697,1472
3205,2647,2395,5084,5907,4934
1221,740,958,1259,1339,1119
1859,1503,1293,1374,1454,1654
3398,2601,2501,5573,6265,5235
3030,2801,2257,3291,3140,3044
9621,7677,6820,8313,8319,8331
6670,5397,5017,7677,7752,6794
9741,9019,8570,6064,6163,5881
1731,1473,1209,1604,1432,1086
0,0,0,0,7,1
17180,15067,13218,9838,10098,9597
1707,1361,1348,2103,2689,2349
6367,6857,6179,6069,6027,5111
2765,2220,1974,2243,2102,1840
39647,33324,29129,25961,25782,23164
0,8,0,4,4,4
15318,12025,11588,17349,20127,17478
7056,5291,5250,7103,8655,7572
811,613,580,1108,1247,973
2806,2560,2192,3329,3477,3273
26,49,54,59,21,31
1433,966,1021,1775,2001,1443
2600,2065,1911,3214,3468,2812
0,16,16,34,43,32
0,0,0,0,4,5
5416,4516,4000,4342,5046,4700
18221,15008,10995,18823,21604,16071
0,0,24,0,14,18
8654,7716,6692,8053,7783,7258
1440,1089,1033,2110,2420,1954
4,0,0,0,0,0
9940,8226,7292,7862,8101,7822
40,32,8,98,91,63
0,38,0,19,4,14
4,4,0,0,0,0
2634,2177,2094,3473,3665,3249
10620,8346,7777,16141,17913,15846
961,972,875,1062,1037,883
9634,8292,8135,11764,11815,11260
1802,1430,1279,2706,3188,2964
0,28,44,0,0,0
10,0,21,16,6,19
2548,2001,2066,2622,2748,2281
3414,2635,2248,3164,3591,3364
0,0,0,0,5,9
3027,2479,2246,2267,2291,2049
0,0,0,0,0,38
1712,1482,1357,2140,2439,2059
0,8,0,4,20,0
57,71,36,25,22,33
10839,10246,8891,6593,7018,6548
0,4,0,16,0,0
62,252,166,122,31,48
1388,1359,1124,1028,955,1015
48,47,43,32,20,12
